codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-08-01;00:00:00;2001;4,29;4,29;GWB-S6;2001-08-01 00:00:00
P00010;A;00425010001;2001-08-01;06:00:00;2001;4,78;4,78;GWB-S6;2001-08-01 06:00:00
P00010;A;00425010001;2001-08-01;12:00:00;2001;5,05;5,05;GWB-S6;2001-08-01 12:00:00
P00010;A;00425010001;2001-08-01;18:00:00;2001;4,6;4,6;GWB-S6;2001-08-01 18:00:00
P00010;A;00425010001;2001-08-02;00:00:00;2001;4,4;4,4;GWB-S6;2001-08-02 00:00:00
P00010;A;00425010001;2001-08-02;06:00:00;2001;4,79;4,79;GWB-S6;2001-08-02 06:00:00
P00010;A;00425010001;2001-08-02;12:00:00;2001;4,54;4,54;GWB-S6;2001-08-02 12:00:00
P00010;A;00425010001;2001-08-02;18:00:00;2001;4,42;4,42;GWB-S6;2001-08-02 18:00:00
P00010;A;00425010001;2001-08-03;00:00:00;2001;4,33;4,33;GWB-S6;2001-08-03 00:00:00
P00010;A;00425010001;2001-08-03;06:00:00;2001;4,35;4,35;GWB-S6;2001-08-03 06:00:00
P00010;A;00425010001;2001-08-03;12:00:00;2001;4,43;4,43;GWB-S6;2001-08-03 12:00:00
P00010;A;00425010001;2001-08-03;18:00:00;2001;4,4;4,4;GWB-S6;2001-08-03 18:00:00
P00010;A;00425010001;2001-08-04;00:00:00;2001;4,32;4,32;GWB-S6;2001-08-04 00:00:00
P00010;A;00425010001;2001-08-04;06:00:00;2001;4,3;4,3;GWB-S6;2001-08-04 06:00:00
P00010;A;00425010001;2001-08-04;12:00:00;2001;4,44;4,44;GWB-S6;2001-08-04 12:00:00
P00010;A;00425010001;2001-08-04;18:00:00;2001;4,43;4,43;GWB-S6;2001-08-04 18:00:00
P00010;A;00425010001;2001-08-05;00:00:00;2001;4,34;4,34;GWB-S6;2001-08-05 00:00:00
P00010;A;00425010001;2001-08-05;06:00:00;2001;4,32;4,32;GWB-S6;2001-08-05 06:00:00
P00010;A;00425010001;2001-08-05;12:00:00;2001;4,33;4,33;GWB-S6;2001-08-05 12:00:00
P00010;A;00425010001;2001-08-05;18:00:00;2001;4,33;4,33;GWB-S6;2001-08-05 18:00:00
P00010;A;00425010001;2001-08-06;00:00:00;2001;4,29;4,29;GWB-S6;2001-08-06 00:00:00
P00010;A;00425010001;2001-08-06;06:00:00;2001;4,28;4,28;GWB-S6;2001-08-06 06:00:00
P00010;A;00425010001;2001-08-06;12:00:00;2001;4,33;4,33;GWB-S6;2001-08-06 12:00:00
P00010;A;00425010001;2001-08-06;18:00:00;2001;4,31;4,31;GWB-S6;2001-08-06 18:00:00
P00010;A;00425010001;2001-08-07;00:00:00;2001;4,29;4,29;GWB-S6;2001-08-07 00:00:00
P00010;A;00425010001;2001-08-07;06:00:00;2001;4,29;4,29;GWB-S6;2001-08-07 06:00:00
P00010;A;00425010001;2001-08-07;12:00:00;2001;4,36;4,36;GWB-S6;2001-08-07 12:00:00
P00010;A;00425010001;2001-08-07;18:00:00;2001;4,66;4,66;GWB-S6;2001-08-07 18:00:00
P00010;A;00425010001;2001-08-08;00:00:00;2001;4,36;4,36;GWB-S6;2001-08-08 00:00:00
P00010;A;00425010001;2001-08-08;06:00:00;2001;4,78;4,78;GWB-S6;2001-08-08 06:00:00
P00010;A;00425010001;2001-08-08;12:00:00;2001;4,47;4,47;GWB-S6;2001-08-08 12:00:00
