codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00417910001;2001-01-28;08:00:00;2001;4,12;4,12;GWB-S6;2001-01-28 08:00:00
P00010;A;00417910001;2001-01-28;12:00:00;2001;4,11;4,11;GWB-S6;2001-01-28 12:00:00
P00010;A;00417910001;2001-01-28;16:00:00;2001;4,1;4,1;GWB-S6;2001-01-28 16:00:00
P00010;A;00417910001;2001-01-28;20:00:00;2001;4,1;4,1;GWB-S6;2001-01-28 20:00:00
P00010;A;00417910001;2001-01-29;00:00:00;2001;4,1;4,1;GWB-S6;2001-01-29 00:00:00
P00010;A;00417910001;2001-01-29;04:00:00;2001;4,09;4,09;GWB-S6;2001-01-29 04:00:00
P00010;A;00417910001;2001-01-29;08:00:00;2001;4,11;4,11;GWB-S6;2001-01-29 08:00:00
P00010;A;00417910001;2001-01-29;12:00:00;2001;4,27;4,27;GWB-S6;2001-01-29 12:00:00
P00010;A;00417910001;2001-01-29;16:00:00;2001;4,25;4,25;GWB-S6;2001-01-29 16:00:00
P00010;A;00417910001;2001-01-29;20:00:00;2001;4,24;4,24;GWB-S6;2001-01-29 20:00:00
P00010;A;00417910001;2001-01-30;00:00:00;2001;4,21;4,21;GWB-S6;2001-01-30 00:00:00
P00010;A;00417910001;2001-01-30;04:00:00;2001;4,18;4,18;GWB-S6;2001-01-30 04:00:00
P00010;A;00417910001;2001-01-30;08:00:00;2001;4,29;4,29;GWB-S6;2001-01-30 08:00:00
P00010;A;00417910001;2001-01-30;12:00:00;2001;4,33;4,33;GWB-S6;2001-01-30 12:00:00
P00010;A;00417910001;2001-01-30;16:00:00;2001;4,24;4,24;GWB-S6;2001-01-30 16:00:00
P00010;A;00417910001;2001-01-30;20:00:00;2001;4,23;4,23;GWB-S6;2001-01-30 20:00:00
P00010;A;00417910001;2001-01-31;00:00:00;2001;4,23;4,23;GWB-S6;2001-01-31 00:00:00
P00010;A;00417910001;2001-01-31;04:00:00;2001;4,22;4,22;GWB-S6;2001-01-31 04:00:00
P00010;A;00417910001;2001-01-31;08:00:00;2001;4,31;4,31;GWB-S6;2001-01-31 08:00:00
P00010;A;00417910001;2001-01-31;12:00:00;2001;4,38;4,38;GWB-S6;2001-01-31 12:00:00
P00010;A;00417910001;2001-01-31;16:00:00;2001;4,37;4,37;GWB-S6;2001-01-31 16:00:00
